"X.1","X","name","album","release_date","track_number","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
680,679,"This Love","1989 (Deluxe)","2014-01-01",11,"4L560fic5PaTuCFm6CviKa",0.678,0.481,0.435,0,0.0928,-8.795,0.0321,143.95,0.107,56,250093
888,887,"Long Live","Speak Now","2010-10-25",14,"4ewAfHYpDTzpW1GKO44CVP",0.0426,0.412,0.682,7.47e-05,0.106,-4.319,0.0339,203.959,0.146,56,317960
952,951,"Never Grow Up","Speak Now (Deluxe Edition)","2010-10-25",8,"74WBGgUnpKrJXt6TETfR6Z",0.819,0.714,0.305,0,0.174,-8.837,0.0305,124.91,0.554,55,290466
959,958,"Ours","Speak Now (Deluxe Edition)","2010-10-25",15,"1EQn3Uc5AyUXoiPLeyCrrg",0.537,0.608,0.569,0,0.097,-7.227,0.0284,159.845,0.238,55,237920
960,959,"If This Was A Movie","Speak Now (Deluxe Edition)","2010-10-25",16,"0vvt4IZOMkRug195S4MUq0",0.166,0.511,0.719,4.54e-06,0.34,-3.457,0.0265,147.852,0.289,54,234546
1055,1054,"Fifteen","Fearless","2008-11-11",2,"4t0OI7XrODjSkAu3bTPmWj",0.067,0.556,0.651,0,0.145,-4.396,0.0266,95.485,0.203,54,294333
702,701,"Everything Has Changed","Red","2012-10-22",14,"4NAmRvqSITAAzKWnC8yRq3",0.36,0.624,0.458,3.89e-06,0.303,-6.755,0.0287,80.017,0.436,53,243933
704,703,"Begin Again","Red","2012-10-22",16,"0L4YCNRfXAoTvdpWeH2RGj",0.199,0.53,0.526,3.52e-06,0.232,-8.349,0.0263,79.025,0.323,53,237613
1054,1053,"Fearless","Fearless","2008-11-11",1,"6Eu31gddWw0gOGO506pJYA",0.04,0.594,0.712,0,0.309,-4.418,0.0273,99.972,0.476,53,241986
1058,1057,"White Horse","Fearless","2008-11-11",5,"6wn61Fzx9XMxQmieLpoIhW",0.305,0.578,0.34,0,0.104,-8.027,0.0264,92.702,0.223,53,234426
1063,1062,"The Way I Loved You","Fearless","2008-11-11",10,"5P4wWhUYWM0IaVYLuZxdar",0.0408,0.433,0.7,0,0.115,-3.709,0.0336,160.927,0.398,53,244226
